#{"t_start": 1596181549.251028, "env_id": null}
r,l,t
67,200,2192.254388
85,200,2195.125242
80,200,2198.239415
75,200,2201.29522
71,200,2205.425614
77,200,2208.549701
81,200,2211.518189
67,200,2214.834028
80,200,2217.855407
88,200,2222.095993
79,200,2225.153378
71,200,2227.985628
65,200,2231.023376
77,200,2234.308002
83,200,2238.235146
81,200,2241.167764
65,200,2244.109447
83,200,2247.229809
86,200,2249.97982
77,200,2254.536361
87,200,2257.383134
93,200,2260.350046
82,200,2263.384346
82,200,2266.273501
81,200,2270.233044
64,200,2272.939055
79,200,2275.977802
78,200,2278.857685
76,200,2282.140312
67,200,2286.56898
86,200,2289.828779
81,200,2293.09808
79,200,2296.200477
78,200,2299.25743
81,200,2303.51821
59,200,2306.416832
89,200,2309.183118
77,200,2312.30968
70,200,2315.283832
73,200,2319.329134
82,200,2322.35283
72,200,2325.270348
79,200,2328.297716
69,200,2331.683888
78,200,2335.891302
88,200,2338.961507
87,200,2341.773985
85,200,2344.755758
80,200,2347.618354
81,200,2351.757395
87,200,2354.935645
80,200,2357.954888
75,200,2361.039828
82,200,2364.077847
91,200,2367.940843
68,200,2370.96678
74,200,2373.941704
66,200,2377.080909
81,200,2379.932271
70,200,2383.836779
77,200,2386.768152
83,200,2389.590433
81,200,2392.827681
81,200,2395.849693
78,200,2400.08033
79,200,2403.038221
86,200,2406.060039
72,200,2408.879026
77,200,2412.014186
78,200,2416.404516
82,200,2419.310645
88,200,2422.682457
82,200,2425.455952
78,200,2428.374425
74,200,2432.673214
81,200,2435.637018
89,200,2438.808708
93,200,2441.791346
78,200,2444.950334
72,200,2448.758474
75,200,2451.722481
88,200,2454.851235
77,200,2457.958431
76,200,2461.158084
78,200,2465.755005
80,200,2468.750065
76,200,2471.935663
87,200,2474.855987
78,200,2477.846892
79,200,2481.926809
79,200,2485.020301
82,200,2488.003725
82,200,2491.065699
78,200,2494.377716
75,200,2498.987109
71,200,2502.063171
60,200,2505.056842
73,200,2507.861577
